---- AnyBody Output File ---------------------------------
Study: Main.Studies.KinematicStudy
Operation: Main.Studies.KinematicStudy.Kinematics
----------------------------------------------------------
Constants (Name = Value): 
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile7.UpdData = 2
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile7.FileName = "..\Subjects\Subject 1\gait1\\gait1-output-euler-rightarm.txt"
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile7.NumberFormat.Digits = 15
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile7.NumberFormat.Width = 23
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile7.NumberFormat.Style = ScientificNumber
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile7.NumberFormat.FormatStr = "%23.15e"
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile7.Values = 
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile7.Search = 
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile7.Format = 0
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile7.SepSign = " "
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile7.SepSpaceAutoOnOff = On
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile7.LineSepSign = ""
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile7.Header.TitleSectionOnOff = On
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile7.Header.ConstSectionOnOff = On
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile7.Header.ConstSectionSaveOptionsOnOff = On
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile7.Header.VarSectionOnOff = On
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile7.Header.ColumnNamesOnOff = On
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile7.Header.LinePrefix = ""
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile7.Header.ShortenNamesOnOff = Off
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile7.Header.ColumnIDString = "col"
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile7.ConstSectionSaveOptionsOnOff = On
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile7.SuppressTimeColumnOnOff = Off
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.Studies.KinematicStudy.t
col1  Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile7.SternoClavicularProtraction
col2  Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile7.SternoClavicularElevation
col3  Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile7.SternoClavicularAxialRotation
col4  Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile7.GlenohumeralFlexion
col5  Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile7.GlenohumeralExternalRotation
col6  Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile7.GlenohumeralAbduction
col7  Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile7.ElbowFlexion
col8  Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile7.ElbowPronation
col9  Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile7.WristFlexion
col10  Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile7.WristAbduction
----------------------------------------------------------
Main.Studies.KinematicStudy.t Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile7.SternoClavicularProtraction Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile7.SternoClavicularElevation Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile7.SternoClavicularAxialRotation Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile7.GlenohumeralFlexion Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile7.GlenohumeralExternalRotation Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile7.GlenohumeralAbduction Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile7.ElbowFlexion Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile7.ElbowPronation Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile7.WristFlexion Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile7.WristAbduction
6.111105000000000e-001 -3.055470824583685e-001 9.013864771955205e-002 -3.180157461732858e-001 6.954218419657510e-002 -2.143838222383072e-001 2.487731602313021e-001 7.439314819753417e-001 -6.593712976959089e-001 1.619738807853737e-001 3.629693609832773e-001
6.451382437500001e-001 -3.084197246510272e-001 9.148635800049387e-002 -3.145806691506821e-001 6.201715024397103e-002 -2.212682041990038e-001 2.569116577178993e-001 7.174358003384369e-001 -6.608301402412670e-001 1.596831838598005e-001 3.645256229359582e-001
6.791659875000000e-001 -3.109322186689355e-001 9.263366513001969e-002 -3.120089535422864e-001 5.336963357581426e-002 -2.310656718205603e-001 2.630065917010330e-001 6.844882369603224e-001 -6.630494512704711e-001 1.589361941144449e-001 3.637367895570071e-001
7.131937312500000e-001 -3.133004906346649e-001 9.360722805982347e-002 -3.110864181510022e-001 3.804530954957075e-002 -2.381134081969963e-001 2.651971050235894e-001 6.553434681095323e-001 -6.608820981605047e-001 1.741575263205386e-001 3.527042133041061e-001
7.472214750000000e-001 -3.155058427163842e-001 9.441829869971463e-002 -3.115622655583506e-001 1.739272644461920e-002 -2.407927795714452e-001 2.640680342164272e-001 6.217083220460871e-001 -6.620858871465541e-001 1.580507744662720e-001 3.602772673796765e-001
7.812492187500001e-001 -3.166006992263679e-001 9.469720015213401e-002 -3.135238236390329e-001 -1.102678726064843e-003 -2.396733255093776e-001 2.594127035978165e-001 5.859071517565978e-001 -6.624244492186138e-001 1.593968485716812e-001 3.573456148339824e-001
8.152769625000000e-001 -3.163690704940415e-001 9.446114709869313e-002 -3.155777952363217e-001 -8.986740859610709e-003 -2.399719452349683e-001 2.545467330317061e-001 5.362482518609112e-001 -6.670968927312813e-001 1.581771229601670e-001 3.569122038595112e-001
8.493047062500001e-001 -3.158192704567835e-001 9.422336305388135e-002 -3.159607101477895e-001 -6.235946683183169e-003 -2.430504449198305e-001 2.536476002635820e-001 4.763073871643388e-001 -6.782603120279169e-001 1.600843628556772e-001 3.554932067612622e-001
8.833324500000001e-001 -3.168228196299612e-001 9.479507404077858e-002 -3.133515845448029e-001 -2.133307650722394e-003 -2.466049818908670e-001 2.598306801149503e-001 4.191705763649845e-001 -7.032349890620876e-001 1.613850659086333e-001 3.565184456076571e-001
9.173601937500001e-001 -3.189955443155578e-001 9.590297948881643e-002 -3.095183262607171e-001 -1.917873043861373e-003 -2.459036299299746e-001 2.689166224095035e-001 3.726022720737688e-001 -7.199064525096172e-001 1.692783678237035e-001 3.533683511602813e-001
9.513879375000000e-001 -3.217014921371142e-001 9.718411460724385e-002 -3.061126817574499e-001 -8.193853250172856e-003 -2.441611367252664e-001 2.769852426141092e-001 3.419849449326019e-001 -7.372195227919162e-001 1.713288078354271e-001 3.552669750063200e-001
9.854156812500000e-001 -3.230454327287418e-001 9.776037581324681e-002 -3.052591758195563e-001 -1.531554230167886e-002 -2.424250676649863e-001 2.790069860254789e-001 3.225311707471442e-001 -7.490265415856129e-001 1.749948981792828e-001 3.564434571538714e-001
1.019443425000000e+000 -3.225009361660015e-001 9.744768954145489e-002 -3.067114861163839e-001 -1.771878124246284e-002 -2.440309360657456e-001 2.755647311797491e-001 3.057045804589663e-001 -7.569806863345054e-001 1.772305493040471e-001 3.589920932050799e-001
1.053471168750000e+000 -3.208236443211799e-001 9.664313614923059e-002 -3.089698161621853e-001 -1.453358743884414e-002 -2.476280843808051e-001 2.702120740051012e-001 2.895072484509629e-001 -7.631265621007290e-001 1.802001002240463e-001 3.615691631435696e-001
1.087498912500000e+000 -3.197022887701098e-001 9.611457864618034e-002 -3.104222525476205e-001 -1.214498261003172e-002 -2.491066406049902e-001 2.667203965045010e-001 2.830426704813195e-001 -7.701142930082535e-001 1.868735858903348e-001 3.642137172226599e-001
1.121526656250000e+000 -3.170413454915025e-001 9.494244866449808e-002 -3.124735454752413e-001 2.413818623103747e-004 -2.419414555247141e-001 2.619055943172544e-001 2.743118293397294e-001 -7.688931821225485e-001 1.813868327037211e-001 3.677095172535772e-001
