---- AnyBody Output File ---------------------------------
Study: Main.Studies.KinematicStudy
Operation: Main.Studies.KinematicStudy.Kinematics
----------------------------------------------------------
Constants (Name = Value): 
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile1.UpdData = 2
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile1.FileName = "..\Subjects\Subject 1\gait1\\gait1-output-euler-trunk.txt"
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile1.NumberFormat.Digits = 15
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile1.NumberFormat.Width = 23
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile1.NumberFormat.Style = ScientificNumber
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile1.NumberFormat.FormatStr = "%23.15e"
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile1.Values = 
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile1.Search = 
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile1.Format = 0
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile1.SepSign = " "
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile1.SepSpaceAutoOnOff = On
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile1.LineSepSign = ""
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile1.Header.TitleSectionOnOff = On
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile1.Header.ConstSectionOnOff = On
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile1.Header.ConstSectionSaveOptionsOnOff = On
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile1.Header.VarSectionOnOff = On
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile1.Header.ColumnNamesOnOff = On
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile1.Header.LinePrefix = ""
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile1.Header.ShortenNamesOnOff = Off
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile1.Header.ColumnIDString = "col"
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile1.ConstSectionSaveOptionsOnOff = On
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile1.SuppressTimeColumnOnOff = Off
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.Studies.KinematicStudy.t
col1  Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile1.PelvisPosX
col2  Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile1.PelvisPosY
col3  Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile1.PelvisPosZ
col4  Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile1.PelvisRotX
col5  Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile1.PelvisRotY
col6  Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile1.PelvisRotZ
col7  Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile1.PelvisThoraxExtension
col8  Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile1.PelvisThoraxLateralBending
col9  Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile1.PelvisThoraxRotation
----------------------------------------------------------
Main.Studies.KinematicStudy.t Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile1.PelvisPosX Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile1.PelvisPosY Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile1.PelvisPosZ Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile1.PelvisRotX Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile1.PelvisRotY Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile1.PelvisRotZ Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile1.PelvisThoraxExtension Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile1.PelvisThoraxLateralBending Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile1.PelvisThoraxRotation
6.451382437500001e-001 4.483053069401632e-001 9.682113661447785e-001 4.219255734420156e-002 -2.714782726492671e-001 -7.679349985010702e-001 4.027575083272146e-001 -6.591456441011223e-001 -1.115381110045900e-001 -8.205753169790599e-002
6.791659875000000e-001 4.781287949523445e-001 9.714905051843057e-001 6.231554146996962e-002 -2.600539980456145e-001 -7.936592638655438e-001 3.874833449218663e-001 -6.389337952521786e-001 -1.181903804689095e-001 -7.658046559703402e-002
7.131937312500000e-001 5.058709592190729e-001 9.746990201914723e-001 8.420691120650783e-002 -2.505568800386074e-001 -8.078012282934749e-001 3.741369436521873e-001 -6.238096245448742e-001 -1.204598093163754e-001 -7.786344559764769e-002
7.472214750000000e-001 5.316373245490503e-001 9.776431045585418e-001 1.080419820043785e-001 -2.431704597780212e-001 -8.156678283204735e-001 3.596148139487856e-001 -6.099271393918133e-001 -1.162234170072690e-001 -7.620092826519004e-002
7.812492187500001e-001 5.561739070679554e-001 9.795129338322205e-001 1.332146453190838e-001 -2.427274339191474e-001 -8.236517183227068e-001 3.501434973428189e-001 -6.013692790299621e-001 -1.107912831936494e-001 -7.167845513158384e-002
8.152769625000000e-001 5.807486135601412e-001 9.793750630508840e-001 1.587532581528474e-001 -2.516112974402563e-001 -8.349668396650964e-001 3.498948731323304e-001 -6.001586061056127e-001 -1.053098935623350e-001 -6.315122037311512e-002
8.493047062500001e-001 6.064408380895302e-001 9.764187168945449e-001 1.842669156737656e-001 -2.711240021446754e-001 -8.464063498616262e-001 3.617214062820622e-001 -6.080634615008456e-001 -9.635926146920437e-002 -5.168309440958956e-002
8.833324500000001e-001 6.334334691861493e-001 9.709829622720432e-001 2.099303506821697e-001 -2.871377643656342e-001 -8.509247022957217e-001 3.725790932885255e-001 -6.170246898512243e-001 -8.232145099563464e-002 -4.237975082178355e-002
9.173601937500001e-001 6.613043557188976e-001 9.647160194468295e-001 2.361490493614388e-001 -2.859881827685968e-001 -8.452344230447786e-001 3.700701380232115e-001 -6.204566450811347e-001 -6.741246169363327e-002 -4.151883997530136e-002
9.513879375000000e-001 6.896891324624179e-001 9.593990492180592e-001 2.632425071604900e-001 -2.664228020633823e-001 -8.357259684026850e-001 3.513575185409120e-001 -6.158203869980294e-001 -5.641356009642583e-002 -4.452182470905571e-002
9.854156812500000e-001 7.184458091731565e-001 9.560843087610604e-001 2.919995809115585e-001 -2.388593993759317e-001 -8.280059644909890e-001 3.248280529749539e-001 -6.051849008234846e-001 -5.261453601175401e-002 -5.086646772525755e-002
1.019443425000000e+000 7.479481303466514e-001 9.543650371676014e-001 3.233577543866819e-001 -2.224420181284268e-001 -8.219314426326642e-001 3.076044388448652e-001 -5.965917345979519e-001 -5.001295832066259e-002 -5.907705358079874e-002
1.053471168750000e+000 7.784838573638874e-001 9.532383021754004e-001 3.574297479919922e-001 -2.263522333346247e-001 -8.157099316417629e-001 3.098684843038895e-001 -5.942648411675606e-001 -4.347016634845971e-002 -6.712552475021796e-002
1.087498912500000e+000 8.096843719400134e-001 9.521224817048353e-001 3.930459847332349e-001 -2.420498900163449e-001 -8.067401963478731e-001 3.261411111757412e-001 -5.958616708931818e-001 -3.252257193491343e-002 -7.091518911445946e-002
1.121526656250000e+000 8.401324028315353e-001 9.515193256189085e-001 4.285032090646567e-001 -2.569456506439867e-001 -7.884800361186520e-001 3.441623403997686e-001 -5.987891111815299e-001 -2.130614689502435e-002 -8.603500155689153e-002
1.155554400000000e+000 8.689209245514215e-001 9.521014179681407e-001 4.621693175019483e-001 -2.610354581653652e-001 -7.615039442731409e-001 3.504791093911849e-001 -5.978185993058328e-001 -6.012711016742485e-003 -9.955941225244107e-002
1.189582143750000e+000 8.958775229736333e-001 9.544011015411278e-001 4.940835069497322e-001 -2.658138019138169e-001 -7.239735050326064e-001 3.532637551765662e-001 -5.986406953285436e-001 1.438145678147727e-002 -1.225197503271169e-001
